job,init,PermeatePressure of Primary membrane,Molar flow stream CO2 vent,Mole fraction Carbon dioxide stream CO2 vent,Molar flow stream Sweetened natural gas,Mole fraction Methane stream Sweetened natural gas,Mole fraction Carbon dioxide stream Sweetened natural gas,MembraneArea of Primary membrane,Energy demand of Compressor 2,Energy demand of Compressor 3,MembraneArea of Secondary membrane,Energy demand of Compressor 1,Status
,,Pa,mol / s,,mol / s,,,m²,W,W,m²,W,
1,2,150000,14.5407779846,0.779244336489,123.459348051,0.979999822249,0.020000177751,2030.71875,140387.015848,136087.237083,434.49609375,124528.041078,OK
2,,200000,15.2492132874,0.743972151667,122.750784454,0.980000066068,0.0199999339319,2230.90625,133999.458086,129765.382757,512.6875,119436.900084,OK
3,2,250000,16.0422202744,0.70818387542,121.9577714,0.979999999769,0.0200000002306,2448.46875,130369.685245,126187.204074,600.3125,116700.807217,OK
4,3,300000,16.9052798109,0.673049902293,121.094753764,0.979999935737,0.020000064263,2682.3125,128393.078769,124248.767156,695.7734375,115373.562513,OK
5,4,350000,17.8257677849,0.639329119407,120.174011159,0.980000294554,0.019999705446,2931.40625,127470.694974,123354.10654,797.671875,114943.45155,OK
6,5,400000,18.7939132751,0.607424274884,119.206275257,0.979999813277,0.0200001867231,3194.71875,127245.862131,123149.44247,904.9296875,115101.636779,OK
7,6,450000,19.8022887861,0.577511323624,118.197884651,0.979999836701,0.0200001632989,3471.65625,127495.033516,123413.475744,1016.7109375,115660.063941,OK
8,7,500000,20.8451695914,0.549618923217,117.154828905,0.979999974289,0.0200000257109,3761.625,128069.944485,123999.691612,1132.375,116490.506948,OK
9,8,550000,21.9182694903,0.523689316701,116.081579629,0.980000109053,0.0199998909472,4064.1875,128869.407146,124808.190672,1251.4375,117505.549562,OK
10,9,600000,23.0180588695,0.499623479222,114.982266198,0.979999770144,0.020000229856,4378.96875,129821.949645,125768.499887,1373.5,118642.263005,OK
