Pp1_bar,areaP,areaS,areaTot,ch4rec,ventCO2,sweetCO2,power
1.500,2030.7,434.5,2465.2,97.42,0.7792,0.0200,0.4010
2.000,2230.9,512.7,2743.6,96.86,0.7440,0.0200,0.3832
2.500,2448.5,600.3,3048.8,96.23,0.7082,0.0200,0.3733
3.000,2682.3,695.8,3378.1,95.55,0.6730,0.0200,0.3680
3.500,2931.4,797.7,3729.1,94.82,0.6393,0.0200,0.3658
4.000,3194.7,904.9,4099.6,94.06,0.6074,0.0200,0.3655
4.500,3471.7,1016.7,4488.4,93.26,0.5775,0.0200,0.3666
5.000,3761.6,1132.4,4894.0,92.44,0.5496,0.0200,0.3686
5.500,4064.2,1251.4,5315.6,91.59,0.5237,0.0200,0.3712
6.000,4379.0,1373.5,5752.5,90.73,0.4996,0.0200,0.3742
