Pf_bar,theta_ig,theta_rg_const,theta_rg_local,theta_ig_mempy,theta_rg_mempy,phiC3H6
1.1,0.006082,0.00587223,0.00587236,0.006082,0.005772,0.983739
2,0.124949,0.118867,0.118869,0.124949,0.115243,0.970499
3,0.27004,0.253643,0.25365,0.27004,0.242216,0.95585
4,0.408375,0.379082,0.379097,0.408375,0.356798,0.941263
5,0.535873,0.492786,0.492816,0.535873,0.457757,0.926732
6,0.648201,0.592993,0.593046,0.648201,0.544875,0.912251
7,0.740268,0.677942,0.678024,0.740268,0.618279,0.897814
8,0.808352,0.74629,0.746396,0.808352,0.678459,0.883414
9,0.854295,0.798036,0.798143,0.854295,0.726358,0.869041
10,0.8856,0.835285,0.835356,0.8856,0.763385,0.854686
