theta_local,x_O2,y_local_O2,y_collected_O2
0,0.209,0.654834,0.654834
0.00237254,0.207942,0.653159,0.654018
0.00479539,0.20686,0.651435,0.65316
0.00715039,0.205807,0.649748,0.652321
0.00955533,0.204731,0.648013,0.651461
0.0118929,0.203685,0.646314,0.650621
0.014222,0.202641,0.64461,0.64978
0.0166005,0.201574,0.642857,0.648917
0.0189123,0.200536,0.641141,0.648074
0.0212732,0.199475,0.639377,0.647209
0.023568,0.198443,0.63765,0.646364
0.0258545,0.197414,0.635917,0.645519
0.0281894,0.196363,0.634136,0.644652
0.030459,0.19534,0.632392,0.643805
0.0327768,0.194295,0.6306,0.642936
0.0350297,0.193278,0.628845,0.642088
0.0372744,0.192265,0.627085,0.641239
0.0395668,0.191229,0.625276,0.640368
0.041795,0.190222,0.623506,0.639517
0.0440706,0.189192,0.621686,0.638645
0.0462825,0.188191,0.619905,0.637793
0.0484863,0.187193,0.61812,0.63694
0.050737,0.186174,0.616284,0.636066
0.0529248,0.185182,0.614488,0.635212
0.055159,0.184169,0.612643,0.634336
0.0573308,0.183184,0.610837,0.633481
0.0595487,0.182178,0.608981,0.632604
0.0617047,0.181199,0.607166,0.631748
0.0638529,0.180224,0.605346,0.630891
0.0660467,0.179227,0.603475,0.630012
0.0681793,0.178258,0.601646,0.629154
0.0703573,0.177268,0.599766,0.628274
0.0724744,0.176306,0.597928,0.627415
0.0745839,0.175347,0.596085,0.626556
0.0767383,0.174367,0.594191,0.625674
0.0788326,0.173415,0.592339,0.624814
0.0809715,0.172442,0.590437,0.623932
0.0830507,0.171496,0.588577,0.62307
0.0851226,0.170554,0.586712,0.622209
0.0872385,0.169591,0.584797,0.621325
0.0892955,0.168656,0.582924,0.620463
0.0913963,0.1677,0.581001,0.619578
0.0934385,0.166771,0.57912,0.618715
0.0954735,0.165845,0.577236,0.617852
0.0975519,0.1649,0.5753,0.616966
0.0995724,0.163981,0.573408,0.616102
0.101636,0.163043,0.571465,0.615216
0.103642,0.162131,0.569566,0.614351
0.105641,0.161222,0.567663,0.613486
0.107683,0.160294,0.565709,0.612599
0.109668,0.159393,0.5638,0.611734
0.111696,0.158472,0.561839,0.610846
0.113667,0.157577,0.559922,0.60998
0.115631,0.156685,0.558003,0.609114
0.117637,0.155775,0.556032,0.608226
0.119588,0.15489,0.554106,0.607359
0.12158,0.153987,0.552129,0.606471
0.123517,0.153109,0.550198,0.605604
0.125447,0.152235,0.548263,0.604737
0.127418,0.151342,0.546277,0.603848
0.129335,0.150475,0.544337,0.602981
0.131293,0.14959,0.542346,0.602092
0.133196,0.148729,0.540401,0.601225
0.135094,0.147872,0.538453,0.600357
0.137031,0.146997,0.536454,0.599468
0.138915,0.146147,0.534501,0.598601
0.14084,0.14528,0.532497,0.597711
0.142711,0.144436,0.53054,0.596844
0.144576,0.143597,0.528581,0.595976
0.146481,0.14274,0.52657,0.595087
0.148333,0.141907,0.524607,0.59422
0.150225,0.141057,0.522592,0.59333
0.152065,0.140231,0.520625,0.592463
0.153899,0.139409,0.518656,0.591596
0.155772,0.13857,0.516636,0.590707
0.157593,0.137755,0.514664,0.58984
0.159454,0.136922,0.51264,0.588951
0.161263,0.136114,0.510665,0.588084
0.163111,0.135289,0.508639,0.587196
0.164908,0.134488,0.50666,0.586329
0.166699,0.13369,0.504681,0.585462
0.168529,0.132875,0.502651,0.584575
0.170309,0.132084,0.500669,0.583708
0.172127,0.131277,0.498637,0.582821
0.173895,0.130493,0.496653,0.581955
0.175657,0.129712,0.494668,0.58109
0.177457,0.128916,0.492633,0.580203
0.179208,0.128142,0.490647,0.579338
0.180997,0.127353,0.48861,0.578452
0.182736,0.126586,0.486623,0.577587
0.18447,0.125822,0.484635,0.576723
0.186241,0.125043,0.482597,0.575838
0.187964,0.124287,0.480608,0.574974
0.189725,0.123515,0.478569,0.57409
0.191436,0.122765,0.47658,0.573227
0.193143,0.122019,0.47459,0.572364
0.194886,0.121258,0.472551,0.571481
0.196582,0.120518,0.470561,0.570619
0.198315,0.119764,0.468522,0.569736
0.2,0.119031,0.466533,0.568875
