Pr_bar,theta_ig,theta_rg,permCO2_ig,permCO2_rg,phiCO2,phiCH4
10,0.0661087,0.0639714,0.349981,0.34376,0.963557,0.981647
20,0.159634,0.151832,0.397912,0.393329,0.928459,0.963999
30,0.235912,0.222718,0.363478,0.365981,0.894705,0.947054
40,0.3,0.281079,0.317153,0.326951,0.862295,0.93081
50,0.358415,0.332429,0.275019,0.290502,0.831234,0.915267
60,0.414594,0.379789,0.240339,0.259603,0.801529,0.900421
70,0.470024,0.424667,0.212598,0.234163,0.773186,0.886269
80,0.525243,0.467811,0.190364,0.213302,0.746214,0.872807
90,0.580414,0.50961,0.172288,0.196072,0.720616,0.860027
100,0.635577,0.550292,0.157337,0.18167,0.696391,0.847923
