point,Pfeed_kPa,theta,permO2_meas,permO2_pred,retO2_meas,retO2_pred
0,206,0.0426335,0.283,0.284158,0.206,0.206698
1,205,0.0563753,0.281,0.283034,0.205,0.205637
2,205,0.0785689,0.281,0.281924,0.203,0.203867
3,205,0.127092,0.278,0.279448,0.2,0.199889
4,205,0.293614,0.27,0.270388,0.186,0.184899
5,205,0.451777,0.263,0.260793,0.187,0.168143
6,274,0.0704348,0.304,0.302183,0.202,0.199788
7,274,0.0977417,0.302,0.300266,0.2,0.196897
8,274,0.140903,0.3,0.297177,0.195,0.19221
9,274,0.211688,0.296,0.291948,0.188,0.184189
10,274,0.446878,0.28,0.272842,0.163,0.153805
11,274,0.608728,0.268,0.257692,0.173,0.128135
